chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat
chr2	118553430	118555268	1839	94	0.787017492318759	0.495784242731871	0.291233249586887	453.172353237052
chr11	12026385	12026598	214	77	0.61190998110499	0.344370202507356	0.267539778597633	359.321517208479
chr2	170131224	170131437	214	78	0.488892274170985	0.211877474013135	0.27701480015785	355.244563588326
chr7	4460236	4460602	367	46	0.511885973575955	0.86285135828017	-0.350965384704215	-243.943194270074
chr13	21813165	21813557	393	48	0.276605718665006	0.604392694656155	-0.327786975991149	-230.921098351719
chr11	57401191	57401414	224	46	0.730314106781353	0.96191844977696	-0.231604342995607	-199.728720652798
chr18	10051950	10052246	297	45	0.704312853514149	0.446701383120832	0.257611470393317	196.884738531316
chr11	106033014	106033282	269	38	0.637577954595902	0.316677026624922	0.32090092797098	149.63614304129
chr19	38030876	38031008	133	32	0.653074395172615	0.304219946549776	0.348854448622839	148.851736836364
chrY	90829118	90829322	205	31	0.39862199414277	0.702170457225265	-0.303548463082495	-143.901458803169
chr19	6497423	6497544	122	33	0.626554412661011	0.263169748729795	0.363384663931217	124.905065674121
chr13	100593771	100593930	160	24	0.851029000760746	0.459018257313285	0.392010743447461	117.143889346179
chr11	82930999	82931084	86	26	0.238517689713561	0.517814156683892	-0.279296466970331	-108.806349793086
chr3	32397402	32397462	61	25	0.424270230523225	0.206928400184535	0.21734183033869	108.462071441947
chr6	112729128	112729226	99	23	0.544476480043331	0.241338559570644	0.303137920472687	82.0303684519194
chr6	47763255	47763390	136	22	0.754981098767182	0.367809019498535	0.387172079268648	75.6585780680944
chr4	134160675	134160775	101	14	0.663161414035574	0.367529110122283	0.295632303913291	60.3496156326402
chr17	81572051	81572106	56	14	0.880127021854735	0.52957893996676	0.350548081887974	59.6767642795407
chr2	174284534	174284611	78	8	0.330064876071821	0.578534419539107	-0.248469543467286	-33.9334912837087
chr1	157954959	157955208	250	6	0.575112969810744	0.946183858922349	-0.371070889111605	-29.6743360155645
chr1	134400199	134400252	54	8	0.722648189231316	0.421077772253762	0.301570416977554	29.0798307742334
chr13	66306065	66306174	110	5	0.461618397239268	0.897992859825662	-0.436374462586394	-28.3146955943093
chr1	170894035	170894184	150	6	0.465434354168752	0.83316861271903	-0.367734258550278	-26.4447213878252
chr6	27051395	27051512	118	6	0.938186717657978	0.602037673289388	0.33614904436859	25.0065957026204
chr11	55804066	55804132	67	7	0.911948740045974	0.490843704715656	0.421105035330318	24.2791473364969
chr2	172307236	172307288	53	6	0.778833151924952	0.439136811047818	0.339696340877133	23.2447327548391
chrX	164287093	164287220	128	6	0.375382355973581	0.779576124866934	-0.404193768893354	-23.1318170314306
chr11	22401409	22401485	77	5	0.952990946730517	0.546577435542894	0.406413511187623	20.8587027501933
chr4	121500611	121500721	111	5	0.828354556045595	0.436575716071632	0.391778839973963	19.8709437224179
chrX	49154321	49154392	72	4	0.538406225531274	0.948595547934241	-0.410189322402966	-19.7357719313119
chr3	127688424	127688482	59	5	0.831973511459996	0.496697668425822	0.335275843034174	18.7008701354155
chr7	76609796	76609865	70	4	0.601764439451651	0.941646763667997	-0.339882324216346	-18.2518162133425
chr17	6499012	6499065	54	6	0.929919601138128	0.57154623748456	0.358373363653568	18.0154051659674
chrY	43223787	43223854	68	5	0.702484999014345	0.964624839010215	-0.26213983999587	-17.8480496375885
chrY	67927016	67927084	69	4	0.351477233337744	0.851720039159747	-0.500242805822003	-17.6654977851816
chr17	21003301	21003474	174	4	0.946295181426347	0.660196055628526	0.286099125797821	17.0020500996223
chr6	116485964	116486019	56	4	0.672390429586279	0.966866935880494	-0.294476506294214	-16.9265551679668
chr12	6126259	6126355	97	4	0.863054593498604	0.519360877255028	0.343693716243576	16.7480016318454
chrY	9413418	9413631	214	4	0.892297373665831	0.549944647351367	0.342352726314464	16.6235135741399
chr16	13734307	13734511	205	4	0.541507071847107	0.799572061261743	-0.258064989414636	-16.5673644558038
chr10	121302988	121303053	66	4	0.732817266471653	0.37604399879951	0.356773267672143	16.5384883137395
chrX	168920286	168920372	87	4	0.204762407964829	0.626375033735481	-0.421612625770652	-16.4777289764802
chr14	14257152	14257371	220	4	0.61710872121201	0.292815274626816	0.324293446585195	16.3934988121516
chr7	75273897	75274017	121	4	0.808198901608597	0.463537167009308	0.34466173459929	16.317229311081
chr13	33257077	33257324	248	4	0.793470326427129	0.431065731445534	0.362404594981594	16.2114055686421
chr16	40333886	40334021	136	4	0.900960341487111	0.565545212260108	0.335415129227003	16.0143519241082
chr7	47251559	47251666	108	4	0.302055001456142	0.650638309127371	-0.348583307671229	-16.0065468152766
chrX	106206325	106206554	230	5	0.854439127465474	0.541695626944505	0.312743500520969	15.8513731491156
chrX	118663146	118663207	62	4	0.672000665688719	0.273208404186306	0.398792261502413	15.3019512223405
chr7	138617762	138617847	86	4	0.476323907203192	0.819804787248119	-0.343480880044927	-15.1882470904521
chrX	56214823	56214877	55	4	0.246477562245136	0.628159574739925	-0.381682012494789	-15.0207312471217
chrX	134399237	134399289	53	4	0.870984285952105	0.498858701088629	0.372125584863476	14.4185016329536
chr13	43460006	43460060	55	4	0.703567460173619	0.318792491766388	0.384774968407231	14.2923106822446
chrX	153893196	153893320	125	4	0.385261259236646	0.751065403723302	-0.365804144486656	-13.3010252444242
chrY	2529987	2530473	487	4	0.6168532249377	0.616543275643873	0.000309949293826994	-2.65298743085646
chr5	102215775	102216108	334	4	0.726378756596325	0.697755566233507	0.0286231903628184	0.275899152967994
chrX	149707106	149707944	839	4	0.584792378764083	0.543729587191849	0.0410627915722331	-0.0518086707298133
