"","seqnames","start","end","width","strand","mcols.peakNames","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_name","entrez_id"
"1","chr1",3672296,3672696,401,"*","chr1_3672296_3672696","X12","ENSMUSG00000051951",3205901,3671498,465598,"-",797,"upstream",797,"Xkr4","497097"
"2","chr1",3987630,3988030,401,"*","chr1_3987630_3988030","X21","ENSMUSG00000102343",3905739,3986215,80477,"-",1414,"upstream",1414,"RP23-333I7.1",NA
"3","chr1",4497024,4497424,401,"*","chr1_4497024_4497424","X36","ENSMUSG00000025902",4490931,4497354,6424,"-",0,"overlapStart",0,"Sox17","20671"
"4","chr1",4522810,4523210,401,"*","chr1_4522810_4523210","X37","ENSMUSG00000102269",4522905,4526737,3833,"+",0,"overlapStart",0,"RP23-285G23.3",NA
"5","chr1",4610092,4610492,401,"*","chr1_4610092_4610492","X44","ENSMUSG00000102735",4610471,4611406,936,"+",0,"overlapStart",0,"RP23-37D15.2",NA
"6","chr1",4771062,4771462,401,"*","chr1_4771062_4771462","X52","ENSMUSG00000103922",4771131,4772199,1069,"+",0,"overlapStart",0,"RP23-34E15.4","620009"
"7","chr1",5062352,5062752,401,"*","chr1_5062352_5062752","X58","ENSMUSG00000091665",5063060,5064647,1588,"+",307,"upstream",307,"Gm17101","100417473"
"8","chr1",6358826,6359226,401,"*","chr1_6358826_6359226","X92","ENSMUSG00000087247",6359218,6394731,35514,"+",0,"overlapStart",0,"Fam150a","620393"
"9","chr1",6929255,6929655,401,"*","chr1_6929255_6929655","X111","ENSMUSG00000103282",6929759,6929788,30,"+",103,"upstream",103,"RP23-76C20.5",NA
"10","chr1",7013531,7013931,401,"*","chr1_7013531_7013931","X113","ENSMUSG00000102213",7013762,7013920,159,"+",0,"includeFeature",0,"RP23-5K7.2",NA
"11","chr1",7177631,7178031,401,"*","chr1_7177631_7178031","X116","ENSMUSG00000048538",7177739,7179037,1299,"+",0,"overlapStart",0,"Gm9826",NA
"12","chr1",8468891,8469291,401,"*","chr1_8468891_8469291","X173","ENSMUSG00000086235",8468426,8468825,400,"-",65,"upstream",65,"Gm16284",NA
"13","chr1",8856700,8857100,401,"*","chr1_8856700_8857100","X177","ENSMUSG00000104504",8856763,8857102,340,"+",0,"overlapStart",0,"RP23-200C17.1",NA
"14","chr1",8856700,8857100,401,"*","chr1_8856700_8857100","X177","ENSMUSG00000086195",8855928,8856267,340,"-",432,"upstream",432,"Gm6152",NA
"15","chr1",9192894,9193294,401,"*","chr1_9192894_9193294","X181","ENSMUSG00000102316",9191067,9192116,1050,"-",777,"upstream",777,"RP23-331M15.1",NA
"16","chr1",9448862,9449262,401,"*","chr1_9448862_9449262","X192","ENSMUSG00000102272",9450579,9451748,1170,"+",1316,"upstream",1316,"RP23-411P10.2",NA
"17","chr1",9545943,9546343,401,"*","chr1_9545943_9546343","X201","ENSMUSG00000025911",9547948,9580673,32726,"+",1604,"upstream",1604,"Adhfe1","76187"
"18","chr1",9968973,9969373,401,"*","chr1_9968973_9969373","X215","ENSMUSG00000099032",9960163,9967932,7770,"-",1040,"upstream",1040,"Tcf24","100039596"
"19","chr1",10008778,10009178,401,"*","chr1_10008778_10009178","X218","ENSMUSG00000025916",9968624,10009136,40513,"-",0,"overlapStart",0,"Ppp1r42","69312"
"20","chr1",11367677,11368077,401,"*","chr1_11367677_11368077","X249","ENSMUSG00000103494",11363926,11366964,3039,"-",712,"upstream",712,"RP23-366M5.2",NA
"21","chr1",13067550,13067950,401,"*","chr1_13067550_13067950","X298","ENSMUSG00000099498",13068838,13078662,9825,"+",887,"upstream",887,"Gm29283",NA
"22","chr1",13662033,13662433,401,"*","chr1_13662033_13662433","X335","ENSMUSG00000025937",13623330,13660546,37217,"-",1486,"upstream",1486,"Lactb2","212442"
"23","chr1",15269513,15269913,401,"*","chr1_15269513_15269913","X385","ENSMUSG00000073737",15268802,15269797,996,"-",0,"overlapStart",0,"Gm10566","100039959"
"24","chr1",15758805,15759205,401,"*","chr1_15758805_15759205","X396","ENSMUSG00000100814",15760761,15760860,100,"+",1555,"upstream",1555,"Gm28669",NA
"25","chr1",17124541,17124941,401,"*","chr1_17124541_17124941","X445","ENSMUSG00000100110",17124747,17128956,4210,"+",0,"overlapStart",0,"Gm28783",NA
"26","chr1",17727433,17727833,401,"*","chr1_17727433_17727833","X465","ENSMUSG00000085125",17676027,17727646,51620,"-",0,"overlapStart",0,"Gm16070","102634913"
"27","chr1",19153792,19154192,401,"*","chr1_19153792_19154192","X499","ENSMUSG00000100720",19153422,19153966,545,"-",0,"overlapStart",0,"AC098736.2",NA
"28","chr1",21363968,21364368,401,"*","chr1_21363968_21364368","X575","ENSMUSG00000094436",21364803,21365030,228,"+",434,"upstream",434,"Gm16327",NA
"29","chr1",21962158,21962558,401,"*","chr1_21962158_21962558","X582","ENSMUSG00000028033",21398403,21961942,563540,"-",215,"upstream",215,"Kcnq5","226922"
"30","chr1",22030400,22030800,401,"*","chr1_22030400_22030800","X584","ENSMUSG00000099692",22030064,22030615,552,"-",0,"overlapStart",0,"Gm5696","435612"
