JLDY037E	JLDY037F	JLDY037G	JLDY037I	JLDY037J	JLDY037K
chr1_3003573_3003973	15	31	22	28	22	20
chr1_3020634_3021034	15	16	15	19	16	18
chr1_3143169_3143569	22	13	9	26	16	10
chr1_3147754_3148154	10	30	13	25	14	16
chr1_3184879_3185279	16	16	12	16	15	11
chr1_3311366_3311766	13	20	9	17	10	17
chr1_3335125_3335525	18	14	10	32	13	22
chr1_3531869_3532269	12	18	16	30	10	14
chr1_3533120_3533520	20	24	15	23	17	23
chr1_3584245_3584645	10	21	16	23	9	11
chr1_3622253_3622653	8	10	9	27	21	13
chr1_3672296_3672696	10	17	9	17	12	4
chr1_3691329_3691729	17	21	8	29	16	21
chr1_3734807_3735207	7	21	10	19	6	10
chr1_3754353_3754753	13	25	21	21	5	12
chr1_3830750_3831150	14	19	12	22	16	11
chr1_3852306_3852706	14	32	15	22	18	20
chr1_3878070_3878470	19	44	15	27	19	13
chr1_3892007_3892407	3	16	17	37	12	14
chr1_3915570_3915970	16	17	16	20	17	14
chr1_3987630_3988030	23	25	13	37	26	19
chr1_4004667_4005067	22	20	12	16	12	12
chr1_4038802_4039202	21	30	13	31	20	13
chr1_4176029_4176429	12	24	18	30	10	9
chr1_4187632_4188032	14	21	10	31	18	17
chr1_4259774_4260174	21	21	12	29	11	17
chr1_4352273_4352673	17	20	23	22	15	9
chr1_4394684_4395084	14	20	9	18	14	21
chr1_4412456_4412856	12	11	19	22	19	13
chr1_4440419_4440819	15	40	15	28	16	17
chr1_4454682_4455082	11	18	20	25	13	20
chr1_4471330_4471730	16	26	13	31	16	12
chr1_4479493_4479893	19	31	16	25	17	20
chr1_4492304_4492704	14	23	9	25	7	17
chr1_4493063_4493463	15	22	11	24	9	14
chr1_4497024_4497424	14	23	11	18	12	7
chr1_4522810_4523210	14	26	18	29	12	16
chr1_4525367_4525767	18	20	20	29	14	18
chr1_4543972_4544372	17	20	12	20	9	20
chr1_4555210_4555610	17	16	11	29	13	11
chr1_4566986_4567386	5	19	12	16	11	9
chr1_4571512_4571912	11	21	8	14	17	5
chr1_4591063_4591463	13	22	12	23	20	13
chr1_4610092_4610492	19	22	12	24	15	24
chr1_4623254_4623654	5	6	8	16	14	15
chr1_4631597_4631997	12	18	14	22	16	17
chr1_4645128_4645528	12	23	16	26	16	20
chr1_4653888_4654288	25	32	29	37	24	24
chr1_4681810_4682210	16	33	27	25	17	14
chr1_4688350_4688750	9	25	11	25	25	20
chr1_4722549_4722949	10	29	16	20	11	12
chr1_4771062_4771462	17	26	7	30	15	20
chr1_4802630_4803030	20	28	15	20	10	15
chr1_4911859_4912259	10	16	12	27	9	16
chr1_4947213_4947613	18	25	25	26	16	17
chr1_5018296_5018696	15	20	16	13	18	16
chr1_5046465_5046865	14	19	18	21	11	16
chr1_5062352_5062752	14	24	14	15	5	4
chr1_5165762_5166162	15	28	11	18	12	13
chr1_5170320_5170720	18	21	13	20	9	14
chr1_5189338_5189738	11	18	8	21	14	17
chr1_5261585_5261985	21	28	22	31	24	25
chr1_5272721_5273121	19	23	13	14	19	19
chr1_5342460_5342860	17	32	12	34	18	19
chr1_5368066_5368466	16	23	16	24	20	14
chr1_5423338_5423738	14	19	10	25	19	11
chr1_5442887_5443287	8	21	11	22	18	15
chr1_5516286_5516686	23	28	8	22	18	10
chr1_5565838_5566238	14	28	19	16	12	11
chr1_5584423_5584823	14	26	14	19	15	17
chr1_5588570_5588970	15	26	13	25	10	21
chr1_5746701_5747101	11	19	15	26	20	18
chr1_5748671_5749071	15	26	15	20	13	15
chr1_5800242_5800642	15	19	12	21	13	17
chr1_5849961_5850361	7	24	10	26	14	11
chr1_5856446_5856846	15	16	3	9	2	7
chr1_5874735_5875135	11	25	16	32	11	21
chr1_5916030_5916430	13	27	21	19	20	20
chr1_5982048_5982448	18	22	19	20	6	11
chr1_5985067_5985467	9	29	9	18	13	12
chr1_6006328_6006728	11	21	16	22	14	8
chr1_6066730_6067130	11	35	11	25	17	9
chr1_6073587_6073987	22	32	18	29	16	13
chr1_6126405_6126805	12	16	10	28	11	15
chr1_6150899_6151299	19	27	12	24	18	16
chr1_6166676_6167076	11	21	10	16	15	17
chr1_6174123_6174523	17	24	8	15	9	14
chr1_6184628_6185028	16	26	20	24	11	19
chr1_6309520_6309920	17	15	11	20	8	14
chr1_6319629_6320029	9	21	10	20	13	9
chr1_6339557_6339957	25	34	12	28	18	16
chr1_6358826_6359226	20	22	12	26	10	16
chr1_6400686_6401086	15	22	10	30	15	10
chr1_6404888_6405288	13	19	11	24	13	16
chr1_6416903_6417303	18	20	18	19	4	11
chr1_6428456_6428856	27	34	18	26	7	22
chr1_6438344_6438744	8	17	8	21	15	23
chr1_6517784_6518184	19	28	12	28	13	19
chr1_6568685_6569085	14	16	9	20	12	20
chr1_6631710_6632110	8	23	9	16	18	10
chr1_6644755_6645155	17	28	13	19	9	15
chr1_6690848_6691248	19	20	16	17	9	8
chr1_6694549_6694949	19	20	10	20	20	20
chr1_6699616_6700016	13	16	7	22	23	9
chr1_6700682_6701082	16	20	9	16	13	13
chr1_6807414_6807814	15	15	9	16	19	11
chr1_6811372_6811772	12	22	13	11	4	18
chr1_6819825_6820225	11	24	8	27	7	12
chr1_6911388_6911788	16	17	13	24	14	16
chr1_6916633_6917033	22	23	19	30	21	16
chr1_6929255_6929655	10	18	10	17	8	14
chr1_6945970_6946370	14	16	16	22	14	12
chr1_7013531_7013931	14	21	13	22	7	9
chr1_7060761_7061161	20	28	12	18	17	16
chr1_7067007_7067407	15	24	12	22	11	9
chr1_7177631_7178031	15	22	16	22	10	16
chr1_7178635_7179035	16	31	19	11	12	12
chr1_7186872_7187272	21	23	19	22	16	19
chr1_7199242_7199642	12	21	6	17	19	13
chr1_7206103_7206503	9	26	6	20	15	12
chr1_7220276_7220676	14	21	15	19	14	19
chr1_7236846_7237246	17	22	12	19	14	22
chr1_7259522_7259922	18	20	11	22	12	13
chr1_7271775_7272175	23	24	13	29	15	16
chr1_7287640_7288040	20	25	11	25	14	13
chr1_7293522_7293922	21	36	15	39	18	14
chr1_7307958_7308358	21	27	10	24	6	23
chr1_7309332_7309732	14	33	23	23	11	19
chr1_7312354_7312754	21	11	7	23	10	12
chr1_7326800_7327200	9	19	9	14	4	16
chr1_7338187_7338587	10	13	10	17	9	16
chr1_7349308_7349708	14	23	8	18	10	9
chr1_7352828_7353228	14	27	13	23	17	11
chr1_7354953_7355353	19	22	9	27	12	14
chr1_7362583_7362983	18	23	11	9	18	13
chr1_7414251_7414651	11	18	8	15	15	17
chr1_7518685_7519085	14	28	19	27	16	17
chr1_7574212_7574612	7	20	13	18	12	17
chr1_7608214_7608614	19	26	19	27	15	26
chr1_7659022_7659422	9	24	7	28	12	13
chr1_7672254_7672654	12	24	17	17	17	11
chr1_7709866_7710266	12	35	10	28	8	14
chr1_7712725_7713125	21	19	19	34	25	24
chr1_7741826_7742226	14	30	16	21	19	21
chr1_7777490_7777890	20	18	14	29	16	13
chr1_7779580_7779980	20	23	18	23	23	14
chr1_7785480_7785880	15	15	16	20	13	4
chr1_7819397_7819797	16	20	18	27	13	11
chr1_7843435_7843835	21	25	9	25	12	14
chr1_7861514_7861914	20	24	13	37	7	9
chr1_7921800_7922200	11	21	11	22	12	6
chr1_7928954_7929354	12	26	22	25	10	19
chr1_7936284_7936684	8	20	5	11	14	17
chr1_7944451_7944851	16	28	13	27	16	19
chr1_7964353_7964753	14	19	15	24	14	18
chr1_7972206_7972606	16	23	13	16	6	14
chr1_7993606_7994006	14	19	12	23	10	8
chr1_8017770_8018170	19	14	15	26	6	13
chr1_8027803_8028203	7	10	19	25	16	11
chr1_8029510_8029910	21	18	10	19	14	11
chr1_8047024_8047424	14	26	11	26	8	16
chr1_8067807_8068207	19	23	17	39	15	16
chr1_8089592_8089992	20	17	11	30	18	13
chr1_8129629_8130029	19	24	12	24	13	16
chr1_8141082_8141482	8	18	13	19	7	2
chr1_8178625_8179025	14	18	15	21	21	18
chr1_8180678_8181078	13	18	22	19	14	13
chr1_8187312_8187712	12	19	15	22	15	25
chr1_8197486_8197886	16	16	10	23	18	12
chr1_8249023_8249423	18	31	23	37	25	17
chr1_8288310_8288710	19	29	25	27	16	10
chr1_8305025_8305425	22	38	26	34	19	34
chr1_8468891_8469291	21	23	9	16	12	11
chr1_8476796_8477196	6	28	6	15	6	10
chr1_8788252_8788652	11	41	10	21	17	17
chr1_8833113_8833513	12	25	8	22	11	16
chr1_8856700_8857100	16	23	9	22	9	9
chr1_8863624_8864024	8	25	9	19	8	15
chr1_9058239_9058639	13	32	16	23	8	9
chr1_9120643_9121043	9	12	7	17	7	15
chr1_9192894_9193294	7	15	5	16	5	5
chr1_9240483_9240883	4	17	9	21	11	10
chr1_9314022_9314422	3	23	12	22	13	13
chr1_9354220_9354620	9	26	14	21	14	13
chr1_9365110_9365510	13	21	6	21	10	16
chr1_9385686_9386086	17	18	11	29	7	22
chr1_9397044_9397444	4	16	12	20	4	12
