"","seqnames","start","end","width","strand","peakNames","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_name","symbol"
"1","chr1",4785473,4785873,401,"*","chr1_4785473_4785873","X3","ENSMUSG00000033845",4773206,4785739,12534,"-",0,"overlapStart",0,"Mrpl15","Mrpl15"
"2","chr1",4807589,4807989,401,"*","chr1_4807589_4807989","X4","ENSMUSG00000025903",4807788,4848410,40623,"+",0,"overlapStart",0,"Lypla1","Lypla1"
"3","chr1",4807589,4807989,401,"*","chr1_4807589_4807989","X4","ENSMUSG00000104217",4807892,4886770,78879,"+",0,"overlapStart",0,"RP24-426M1.3",NA
"4","chr1",4857486,4857886,401,"*","chr1_4857486_4857886","X5","ENSMUSG00000033813",4857814,4897909,40096,"+",0,"overlapStart",0,"Tcea1","Tcea1"
"5","chr1",4907033,4907433,401,"*","chr1_4907033_4907433","X7","ENSMUSG00000103280",4905751,4906861,1111,"-",171,"upstream",171,"RP24-426M1.4",NA
"6","chr1",6214984,6215384,401,"*","chr1_6214984_6215384","X12","ENSMUSG00000090031",6209866,6215293,5428,"-",0,"overlapStart",0,"4732440D04Rik",NA
"7","chr1",6487051,6487451,401,"*","chr1_6487051_6487451","X21","ENSMUSG00000033740",6487231,6860940,373710,"+",0,"overlapStart",0,"St18","St18"
"8","chr1",7088671,7089071,401,"*","chr1_7088671_7089071","X31","ENSMUSG00000051285",7088920,7173628,84709,"+",0,"overlapStart",0,"Pcmtd1","Pcmtd1"
"9","chr1",7397900,7398300,401,"*","chr1_7397900_7398300","X34","ENSMUSG00000097797",7349406,7397869,48464,"-",30,"upstream",30,"Gm26901",NA
"10","chr1",9545137,9545537,401,"*","chr1_9545137_9545537","X35","ENSMUSG00000061024",9545408,9547455,2048,"+",0,"overlapStart",0,"Rrs1","Rrs1"
"11","chr1",9700439,9700839,401,"*","chr1_9700439_9700839","X37","ENSMUSG00000025912",9667415,9700209,32795,"-",229,"upstream",229,"Mybl1","Mybl1"
"12","chr1",9748261,9748661,401,"*","chr1_9748261_9748661","X39","ENSMUSG00000045210",9718622,9748382,29761,"-",0,"overlapStart",0,"Vcpip1","Vcpip1"
"13","chr1",9797173,9797573,401,"*","chr1_9797173_9797573","X44","ENSMUSG00000025915",9798107,9900845,102739,"+",533,"upstream",533,"Sgk3","Sgk3"
"14","chr1",9906912,9907312,401,"*","chr1_9906912_9907312","X54","ENSMUSG00000046101",9908638,9942085,33448,"+",1325,"upstream",1325,"Mcmdc2","Mcmdc2"
"15","chr1",9943952,9944352,401,"*","chr1_9943952_9944352","X55","ENSMUSG00000098234",9941959,9944118,2160,"-",0,"overlapStart",0,"Snhg6","Snhg6"
"16","chr1",9943952,9944352,401,"*","chr1_9943952_9944352","X55","ENSMUSG00000093178",9942463,9942549,87,"-",1402,"upstream",1402,"Snord87","Snord87"
"17","chr1",10037862,10038262,401,"*","chr1_10037862_10038262","X58","ENSMUSG00000025917",10024601,10038168,13568,"-",0,"overlapStart",0,"Cops5","Cops5"
"18","chr1",10037862,10038262,401,"*","chr1_10037862_10038262","X58","ENSMUSG00000056763",10037987,10136768,98782,"+",0,"overlapStart",0,"Cspp1","Cspp1"
"19","chr1",10039701,10040101,401,"*","chr1_10039701_10040101","X59","ENSMUSG00000025917",10024601,10038168,13568,"-",1532,"upstream",1532,"Cops5","Cops5"
"20","chr1",10232878,10233278,401,"*","chr1_10232878_10233278","X60","ENSMUSG00000067851",10137571,10232670,95100,"-",207,"upstream",207,"Arfgef1","Arfgef1"
"21","chr1",12992395,12992795,401,"*","chr1_12992395_12992795","X72","ENSMUSG00000025938",12866549,12992650,126102,"-",0,"overlapStart",0,"Slco5a1","Slco5a1"
"22","chr1",13335958,13336358,401,"*","chr1_13335958_13336358","X81","ENSMUSG00000087782",13334498,13334609,112,"-",1348,"upstream",1348,"Gm23169","Gm23169"
"23","chr1",13374276,13374676,401,"*","chr1_13374276_13374676","X85","ENSMUSG00000005886",13139105,13374083,234979,"-",192,"upstream",192,"Ncoa2","Ncoa2"
"24","chr1",13374276,13374676,401,"*","chr1_13374276_13374676","X85","ENSMUSG00000101476",13376070,13388413,12344,"+",1393,"upstream",1393,"Gm29570",NA
"25","chr1",13589717,13590117,401,"*","chr1_13589717_13590117","X90","ENSMUSG00000025935",13564698,13589910,25213,"-",0,"overlapStart",0,"Tram1","Tram1"
"26","chr1",13660405,13660805,401,"*","chr1_13660405_13660805","X96","ENSMUSG00000025937",13623330,13660546,37217,"-",0,"overlapStart",0,"Lactb2","Lactb2"
"27","chr1",15805370,15805770,401,"*","chr1_15805370_15805770","X109","ENSMUSG00000025925",15805646,15844052,38407,"+",0,"overlapStart",0,"Terf1","Terf1"
"28","chr1",16104533,16104933,401,"*","chr1_16104533_16104933","X111","ENSMUSG00000043716",16101295,16104662,3368,"-",0,"overlapStart",0,"Rpl7","Rpl7"
"29","chr1",16104533,16104933,401,"*","chr1_16104533_16104933","X111","ENSMUSG00000025921",16105774,16133734,27961,"+",840,"upstream",840,"Rdh10","Rdh10"
"30","chr1",16228221,16228621,401,"*","chr1_16228221_16228621","X118","ENSMUSG00000100868",16228506,16244062,15557,"+",0,"overlapStart",0,"Gm28095",NA
"31","chr1",16617701,16618101,401,"*","chr1_16617701_16618101","X122","ENSMUSG00000102457",16618560,16621539,2980,"+",458,"upstream",458,"RP23-382H8.2",NA
"32","chr1",16619155,16619555,401,"*","chr1_16619155_16619555","X123","ENSMUSG00000025939",16540790,16619489,78700,"-",0,"overlapStart",0,"Ube2w","Ube2w"
"33","chr1",16656889,16657289,401,"*","chr1_16656889_16657289","X125","ENSMUSG00000079658",16641725,16657042,15318,"-",0,"overlapStart",0,"Tceb1","Eloc"
"34","chr1",16656889,16657289,401,"*","chr1_16656889_16657289","X125","ENSMUSG00000097744",16657552,16662278,4727,"+",262,"upstream",262,"D030040B21Rik","D030040B21Rik"
"35","chr1",16665057,16665457,401,"*","chr1_16665057_16665457","X127","ENSMUSG00000100959",16662980,16663662,683,"-",1394,"upstream",1394,"Gm7654",NA
"36","chr1",16665057,16665457,401,"*","chr1_16665057_16665457","X127","ENSMUSG00000025940",16665207,16678275,13069,"+",0,"overlapStart",0,"Tmem70","Tmem70"
"37","chr1",17097696,17098096,401,"*","chr1_17097696_17098096","X134","ENSMUSG00000042686",16964560,17097889,133330,"-",0,"overlapStart",0,"Jph1","Jph1"
"38","chr1",20820179,20820579,401,"*","chr1_20820179_20820579","X141","ENSMUSG00000041859",20802968,20820312,17345,"-",0,"overlapStart",0,"Mcm3","Mcm3"
"39","chr1",20820179,20820579,401,"*","chr1_20820179_20820579","X141","ENSMUSG00000099714",20821331,20822516,1186,"+",751,"upstream",751,"Gm20587","Gm20587"
"40","chr1",20890330,20890730,401,"*","chr1_20890330_20890730","X143","ENSMUSG00000097934",20888650,20890473,1824,"-",0,"overlapStart",0,"6720483E21Rik","6720483E21Rik"
"41","chr1",20890330,20890730,401,"*","chr1_20890330_20890730","X143","ENSMUSG00000025931",20890606,20939650,49045,"+",0,"overlapStart",0,"Paqr8","Paqr8"
"42","chr1",20951386,20951786,401,"*","chr1_20951386_20951786","X144","ENSMUSG00000041809",20951626,20990841,39216,"+",0,"overlapStart",0,"Efhc1","Efhc1"
"43","chr1",21079316,21079716,401,"*","chr1_21079316_21079716","X150","ENSMUSG00000041779",20996299,21079229,82931,"-",86,"upstream",86,"Tram2","Tram2"
"44","chr1",21079316,21079716,401,"*","chr1_21079316_21079716","X150","ENSMUSG00000099971",21080114,21081748,1635,"+",397,"upstream",397,"Gm28287",NA
"45","chr1",21218544,21218944,401,"*","chr1_21218544_21218944","X153","ENSMUSG00000025933",21218575,21230167,11593,"+",0,"overlapStart",0,"Tmem14a","Tmem14a"
"46","chr1",21271395,21271795,401,"*","chr1_21271395_21271795","X154","ENSMUSG00000099343",21250359,21271593,21235,"-",0,"overlapStart",0,"Gm28836",NA
"47","chr1",21271395,21271795,401,"*","chr1_21271395_21271795","X154","ENSMUSG00000096375",21272403,21272906,504,"+",607,"upstream",607,"Gm7094",NA
"48","chr1",23922169,23922569,401,"*","chr1_23922169_23922569","X165","ENSMUSG00000026155",23844846,23922317,77472,"-",0,"overlapStart",0,"Smap1","Smap1"
"49","chr1",24005486,24005886,401,"*","chr1_24005486_24005886","X167","ENSMUSG00000026154",23995939,24005656,9718,"-",0,"overlapStart",0,"1110058L19Rik","Sdhaf4"
"50","chr1",24005486,24005886,401,"*","chr1_24005486_24005886","X167","ENSMUSG00000102495",24005505,24005894,390,"+",0,"overlapStart",0,"RP24-287C19.1",NA
"51","chr1",24100275,24100675,401,"*","chr1_24100275_24100675","X168","ENSMUSG00000026153",24011093,24100341,89249,"-",0,"overlapStart",0,"Fam135a","Fam135a"
